Country,Cluster,Cluster_Label,Recommendation,farms_number,used_agricultural_area_ha,standard_output_EUR,total_labour_persons,managers_full_training,organic_farming_share
Belgium,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",36890,1354250,8037986420.0,70910,7850,5.8
Bulgaria,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",202720,4468500,3842891030.0,439740,13350,3.2
Czechia,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",26530,3455410,6141561460.0,130290,10270,14.0
Denmark,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",35050,2614600,10062442040.0,73320,2370,7.81
Germany,1,Strong organic farming expansion potential compared with other countries,"This country shows strong potential for organic farming expansion. It can focus on scaling organic production, increasing exports, and sharing best practices with other countries.",276120,16715320,49249020560.0,653760,47000,6.82
Estonia,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",16700,995100,801547060.0,38380,4770,18.02
Ireland,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",137560,4883650,6324900700.0,265180,34650,1.72
Greece,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",684950,4553830,7574803910.0,1198390,4060,6.51
Spain,1,Strong organic farming expansion potential compared with other countries,"This country shows strong potential for organic farming expansion. It can focus on scaling organic production, increasing exports, and sharing best practices with other countries.",945020,23229750,38365605150.0,1866210,17490,8.48
France,1,Strong organic farming expansion potential compared with other countries,"This country shows strong potential for organic farming expansion. It can focus on scaling organic production, increasing exports, and sharing best practices with other countries.",456520,27814160,61343138670.0,859750,159480,5.28
Croatia,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",134460,1562980,2034939130.0,318060,3280,6.05
Italy,1,Strong organic farming expansion potential compared with other countries,"This country shows strong potential for organic farming expansion. It can focus on scaling organic production, increasing exports, and sharing best practices with other countries.",1145710,12598160,51689024310.0,2045410,69480,13.99
Cyprus,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",34940,111930,616692170.0,72910,200,4.94
Latvia,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",69930,1930880,1221341010.0,162630,21890,13.42
Lithuania,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",150320,2924600,2226207560.0,255570,24720,7.5
Luxembourg,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",1970,130650,365008400.0,4780,1040,3.47
Hungary,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",430000,4670560,6532474660.0,814420,18820,3.48
Malta,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",9210,11120,98016860.0,15420,160,0.21
Netherlands,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",55680,1796260,23087034100.0,172660,5250,3.03
Austria,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",132500,2669750,6141561460.0,318840,31050,21.25
Poland,1,Strong organic farming expansion potential compared with other countries,"This country shows strong potential for organic farming expansion. It can focus on scaling organic production, increasing exports, and sharing best practices with other countries.",1410700,14405650,25005635420.0,3088250,387210,3.72
Portugal,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",258980,3641690,5144206850.0,603720,6350,6.74
Romania,2,Moderate organic farming expansion potential compared with other countries,"This country has moderate potential for organic farming expansion. It may benefit from improving organic supply chains, supporting medium-sized farms, and increasing investment in sustainable farming practices.",3422030,12502540,12105491800.0,6061200,13870,1.67
Slovenia,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",69900,488400,1158773470.0,196040,10120,9.12
Slovakia,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",25660,1889820,1931433530.0,79180,2380,9.75
Finland,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",49710,2233080,3514583720.0,111860,5690,10.47
Sweden,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",62940,3012640,5158678850.0,129280,13650,18.3
United Kingdom,0,Developing organic farming expansion potential compared with other countries,"This country may benefit from additional support for organic farming expansion, such as farmer training, financial incentives, easier access to organic certification, and stronger marketing support for organic products.",185060,16673270,25403447340.0,426610,31870,2.82
